Player,Networks
76561198737581625,"['304930.net', '1063730.net']"
76561198079118269,"['578080.net', '1599340.net']"
76561198302651581,"['578080.net', '1172470.net']"
76561199030135765,"['578080.net', '381210.net']"
76561197977913023,"['532210.net', '386360.net']"
76561198388606792,"['10.net', '400.net', '240.net']"
76561197960296929,"['10.net', '400.net', '240.net']"
76561197960319772,"['10.net', '400.net', '240.net']"
76561197960399877,"['10.net', '400.net', '240.net']"
76561197960449107,"['10.net', '400.net', '240.net']"
76561197961017729,"['10.net', '400.net', '240.net']"
76561197961226780,"['10.net', '400.net', '240.net']"
76561197963098989,"['10.net', '400.net', '240.net']"
76561197963644049,"['10.net', '400.net', '240.net']"
76561197964020998,"['10.net', '400.net', '240.net']"
76561197964732360,"['10.net', '400.net', '240.net']"
76561197966015623,"['10.net', '400.net', '240.net']"
76561197966292013,"['10.net', '400.net', '240.net']"
76561197966358313,"['10.net', '400.net', '240.net']"
76561197966690560,"['10.net', '400.net', '240.net']"
76561197966733540,"['10.net', '400.net', '240.net']"
76561197967599040,"['10.net', '400.net', '240.net']"
76561197968349152,"['10.net', '400.net', '240.net']"
76561197970209936,"['10.net', '400.net', '240.net']"
76561197970328882,"['10.net', '400.net', '240.net']"
76561197970573134,"['10.net', '400.net', '240.net']"
76561197970655345,"['10.net', '400.net', '240.net']"
76561197970807147,"['10.net', '400.net', '240.net']"
76561197971039477,"['10.net', '400.net', '240.net']"
76561197971496153,"['10.net', '400.net', '240.net']"
76561197971704102,"['10.net', '400.net', '240.net']"
76561197974171741,"['10.net', '400.net', '240.net']"
76561197974424836,"['10.net', '400.net', '240.net']"
76561197974603469,"['10.net', '400.net', '240.net']"
76561197976104678,"['10.net', '400.net', '240.net']"
76561197976326496,"['10.net', '400.net', '240.net']"
76561197976562862,"['10.net', '400.net', '240.net']"
76561197977948044,"['10.net', '400.net', '240.net']"
76561197979230085,"['10.net', '400.net', '240.net']"
76561197979445690,"['10.net', '400.net', '240.net']"
76561197979897991,"['10.net', '400.net', '240.net']"
76561197981312585,"['10.net', '400.net', '240.net']"
76561197981965069,"['10.net', '400.net', '240.net']"
76561197982080441,"['10.net', '400.net', '240.net']"
76561197982504799,"['10.net', '400.net', '240.net']"
76561197982682838,"['10.net', '400.net', '240.net']"
